unified_id,canonical_name,brand_name,source_portal,source_count,shape,balance,level,year,inferred_year,year_inference_method,year_evidence,confidence,needs_web_verification,notes
racket-00131,Akkeron Andromeda A22 RC,akkeron,padelful,1,Round,,,,2022,akkeron_aYY_code_in_name,A22,medium,False,Inferred from product-name pattern only; verify against official/source page before importing.
racket-00132,Akkeron Armageddon Edition A22 RC,akkeron,padelful,1,Tear,,,,2022,akkeron_aYY_code_in_name,A22,medium,False,Inferred from product-name pattern only; verify against official/source page before importing.
racket-00133,Akkeron Athenea A22 RC,akkeron,padelful,1,Round,,,,2022,akkeron_aYY_code_in_name,A22,medium,False,Inferred from product-name pattern only; verify against official/source page before importing.
racket-00134,Akkeron Atlas Edition A22 RC,akkeron,padelful,1,Round,,,,2022,akkeron_aYY_code_in_name,A22,medium,False,Inferred from product-name pattern only; verify against official/source page before importing.
racket-00135,Akkeron Calypso A22 RC,akkeron,padelful,1,Round,,,,2022,akkeron_aYY_code_in_name,A22,medium,False,Inferred from product-name pattern only; verify against official/source page before importing.
racket-00136,Akkeron Fenix Edition A22 RC,akkeron,padelful,1,Diamond,,,,2022,akkeron_aYY_code_in_name,A22,medium,False,Inferred from product-name pattern only; verify against official/source page before importing.
racket-00137,Akkeron Furia A22 RC,akkeron,padelful,1,Tear,,,,2022,akkeron_aYY_code_in_name,A22,medium,False,Inferred from product-name pattern only; verify against official/source page before importing.
racket-00138,Akkeron Helios Edition A22 RC,akkeron,padelful,1,Tear,,,,2022,akkeron_aYY_code_in_name,A22,medium,False,Inferred from product-name pattern only; verify against official/source page before importing.
racket-00139,Akkeron Nexus A22 RC,akkeron,padelful,1,Tear,,,,2022,akkeron_aYY_code_in_name,A22,medium,False,Inferred from product-name pattern only; verify against official/source page before importing.
racket-00140,Akkeron Oro A22 RC,akkeron,padelful,1,Tear,,,,2022,akkeron_aYY_code_in_name,A22,medium,False,Inferred from product-name pattern only; verify against official/source page before importing.
racket-00141,Akkeron Oro España A22 RC,akkeron,padelful,1,Tear,,,,2022,akkeron_aYY_code_in_name,A22,medium,False,Inferred from product-name pattern only; verify against official/source page before importing.
racket-00142,Akkeron Oro Furia A22 RC,akkeron,padelful,1,Diamond,,,,2022,akkeron_aYY_code_in_name,A22,medium,False,Inferred from product-name pattern only; verify against official/source page before importing.
racket-00143,Akkeron Plata A22 RC,akkeron,padelful,1,Round,,,,2022,akkeron_aYY_code_in_name,A22,medium,False,Inferred from product-name pattern only; verify against official/source page before importing.
racket-00144,Akkeron Poseidon A22 RC,akkeron,padelful,1,Tear,,,,2022,akkeron_aYY_code_in_name,A22,medium,False,Inferred from product-name pattern only; verify against official/source page before importing.
racket-00145,Akkeron Vega A22 RC,akkeron,padelful,1,Diamond,,,,2022,akkeron_aYY_code_in_name,A22,medium,False,Inferred from product-name pattern only; verify against official/source page before importing.
racket-00146,Alkemia Lux 3.0,alkemia,padelful,1,Diamond,,,,not_inferable_from_name_without_web,,,True,Web lookup unavailable in this ChatGPT session; blank inferred_year requires external verification.
racket-00147,Cork Padel Supreme Power,cork-padel,padelful,1,Diamond,,,,not_inferable_from_name_without_web,,,True,Web lookup unavailable in this ChatGPT session; blank inferred_year requires external verification.
racket-00148,Drop Shot Allegra 1.0,drop-shot,padelful,1,Round,,,,not_inferable_from_name_without_web,,,True,Web lookup unavailable in this ChatGPT session; blank inferred_year requires external verification.
racket-00149,Drop Shot Allegra 2.0,drop-shot,padelful,1,Round,,,,not_inferable_from_name_without_web,,,True,Web lookup unavailable in this ChatGPT session; blank inferred_year requires external verification.
racket-00150,Drop Shot Axion Attack 1 LTD Jon Sanz,drop-shot,padelful,1,Diamond,,,,not_inferable_from_name_without_web,,,True,Web lookup unavailable in this ChatGPT session; blank inferred_year requires external verification.
racket-00151,Drop Shot Bronco,drop-shot,padelful,1,Diamond,,,,not_inferable_from_name_without_web,,,True,Web lookup unavailable in this ChatGPT session; blank inferred_year requires external verification.
racket-00152,Drop Shot Canyon Pro,drop-shot,padelful,1,Diamond,,,,not_inferable_from_name_without_web,,,True,Web lookup unavailable in this ChatGPT session; blank inferred_year requires external verification.
racket-00153,Drop Shot Canyon Soft,drop-shot,padelful,1,Round,,,,not_inferable_from_name_without_web,,,True,Web lookup unavailable in this ChatGPT session; blank inferred_year requires external verification.
racket-00154,Drop Shot Conqueror 10,drop-shot,padelful,1,Diamond,,,,not_inferable_from_name_without_web,,,True,Web lookup unavailable in this ChatGPT session; blank inferred_year requires external verification.
racket-00155,Drop Shot Conqueror 10 Soft,drop-shot,padelful,1,Diamond,,,,not_inferable_from_name_without_web,,,True,Web lookup unavailable in this ChatGPT session; blank inferred_year requires external verification.
racket-00156,Drop Shot Delta 2.0,drop-shot,padelful,1,Tear,,,,not_inferable_from_name_without_web,,,True,Web lookup unavailable in this ChatGPT session; blank inferred_year requires external verification.
racket-00157,Drop Shot Delta 3.0,drop-shot,padelful,1,Tear,,,,not_inferable_from_name_without_web,,,True,Web lookup unavailable in this ChatGPT session; blank inferred_year requires external verification.
racket-00158,Drop Shot Doppel,drop-shot,padelful,1,Tear,,,,not_inferable_from_name_without_web,,,True,Web lookup unavailable in this ChatGPT session; blank inferred_year requires external verification.
